
order_id,order_date,customer,product,category,quantity,price
1,2023-04-13,Fernanda,Monitor,Eletrônicos,4,2987.1
2,2024-03-11,Pedro,Cadeira,Móveis,1,3959.34
3,2023-09-28,Fernanda,Headset,Eletrônicos,2,4252.83
4,2023-04-17,João,Cadeira,Móveis,4,436.32
5,2023-03-13,Lucas,Cadeira,Móveis,4,4525.11
6,2024-12-01,Carlos,Cadeira,Móveis,3,4690.61
7,2023-01-21,Pedro,Monitor,Eletrônicos,4,2984.79
8,2024-09-06,Fernanda,Headset,Eletrônicos,1,974.42
9,2023-05-02,Fernanda,Mesa,Móveis,4,4101.15
10,2024-04-11,Lucas,Mesa,Móveis,2,2765.51
11,2023-08-03,Ana,Mouse,Eletrônicos,2,4095.12
12,2023-11-27,Carlos,Monitor,Eletrônicos,1,4083.3
13,2024-04-03,Lucas,Headset,Eletrônicos,4,479.31
14,2023-03-29,Fernanda,Headset,Eletrônicos,4,3054.76
15,2024-01-08,Carlos,Cadeira,Móveis,4,2441.56
16,2023-04-10,Carlos,Mesa,Móveis,4,4733.29
17,2024-10-25,Fernanda,Monitor,Eletrônicos,4,1518.37
18,2023-05-11,Ana,Teclado,Eletrônicos,2,1069.7
19,2024-10-23,Ana,Mesa,Móveis,3,4490.58
20,2023-11-05,Fernanda,Mesa,Móveis,2,786.14
21,2023-12-10,Carlos,Headset,Eletrônicos,3,3448.27
22,2024-05-06,Lucas,Mouse,Eletrônicos,2,1535.1
23,2024-02-18,Maria,Mesa,Móveis,1,2860.84
24,2024-01-21,João,Teclado,Eletrônicos,4,3100.29
25,2023-07-11,Ana,Cadeira,Móveis,3,2115.98
26,2023-10-04,Fernanda,Notebook,Eletrônicos,2,4876.08
27,2023-06-10,Juliana,Mouse,Eletrônicos,3,702.57
28,2024-04-04,Maria,Teclado,Eletrônicos,4,1987.43
29,2023-11-10,Ana,Mouse,Eletrônicos,1,2180.46
30,2023-01-22,Juliana,Monitor,Eletrônicos,4,3173.68
31,2023-09-10,Carlos,Cadeira,Móveis,2,2065.94
32,2024-07-14,Fernanda,Mesa,Móveis,2,530.33
33,2024-04-19,Maria,Monitor,Eletrônicos,3,4739.78
34,2023-02-28,Fernanda,Mesa,Móveis,1,2109.59
35,2024-05-25,Lucas,Headset,Eletrônicos,1,1746.23
36,2024-11-12,Lucas,Teclado,Eletrônicos,2,2261.27
37,2024-04-20,Pedro,Cadeira,Móveis,3,1122.15
38,2024-11-30,João,Notebook,Eletrônicos,4,546.1
39,2023-07-09,João,Notebook,Eletrônicos,4,785.46
40,2024-11-17,Ana,Mesa,Móveis,2,874.94
41,2024-07-16,João,Monitor,Eletrônicos,2,1028.48
42,2024-07-20,Fernanda,Headset,Eletrônicos,4,2128.8
43,2023-09-01,Fernanda,Cadeira,Móveis,4,3138.3
44,2024-05-19,Pedro,Cadeira,Móveis,4,3162.99
45,2023-05-11,Juliana,Teclado,Eletrônicos,3,50.48
46,2024-04-29,Lucas,Monitor,Eletrônicos,1,4608.74
47,2024-10-08,Juliana,Notebook,Eletrônicos,2,4123.09
48,2023-01-21,Juliana,Teclado,Eletrônicos,2,4821.49
49,2023-06-16,Maria,Mouse,Eletrônicos,3,1831.93
50,2023-10-01,Maria,Cadeira,Móveis,4,3340.76
51,2024-01-23,Lucas,Notebook,Eletrônicos,3,881.7
52,2024-08-23,Carlos,Teclado,Eletrônicos,4,4094.31
53,2023-11-12,Lucas,Mesa,Móveis,2,848.77
54,2023-01-14,Maria,Mouse,Eletrônicos,1,1663.63
55,2023-08-30,Juliana,Teclado,Eletrônicos,3,2479.63
56,2023-12-12,Ana,Mesa,Móveis,4,2992.93
57,2024-07-18,Pedro,Notebook,Eletrônicos,2,2820.18
58,2023-12-06,Juliana,Notebook,Eletrônicos,1,555.38
59,2023-04-02,Lucas,Mouse,Eletrônicos,3,2137.3
60,2024-01-02,Carlos,Mesa,Móveis,3,4618.4
61,2024-03-30,Juliana,Cadeira,Móveis,2,4368.22
62,2024-03-03,Ana,Headset,Eletrônicos,3,2974.38
63,2024-05-23,Lucas,Headset,Eletrônicos,2,2883.01
64,2023-02-04,Ana,Notebook,Eletrônicos,3,602.79
65,2023-07-25,Juliana,Monitor,Eletrônicos,1,1041.28
66,2023-03-22,Lucas,Cadeira,Móveis,1,1300.57
67,2024-07-15,Ana,Cadeira,Móveis,3,2466.57
68,2024-01-23,Fernanda,Headset,Eletrônicos,2,3670.21
69,2023-01-02,João,Teclado,Eletrônicos,4,2330.59
70,2024-01-25,Ana,Teclado,Eletrônicos,3,674.0
71,2024-07-19,Fernanda,Notebook,Eletrônicos,4,2224.78
72,2023-04-16,Juliana,Cadeira,Móveis,2,855.03
73,2024-04-21,João,Teclado,Eletrônicos,4,3768.18
74,2024-12-03,Maria,Mesa,Móveis,3,874.18
75,2024-02-06,João,Mesa,Móveis,1,2438.54
76,2024-12-30,Ana,Mesa,Móveis,2,3482.4
77,2024-07-09,Pedro,Mesa,Móveis,1,1179.58
78,2023-06-11,Pedro,Cadeira,Móveis,1,426.35
79,2023-07-21,Maria,Mesa,Móveis,1,2838.33
80,2023-09-27,Ana,Cadeira,Móveis,3,318.3
81,2023-09-28,João,Headset,Eletrônicos,2,2959.45
82,2024-03-31,Pedro,Notebook,Eletrônicos,4,3779.82
